Index,Variant,"Major area, region, country or area",Notes,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
31,Estimates,Angola,,24,4147.509,4219.637,4297.156,4377.899,4460.252,4543.15,4626.105,4709.184,4792.925,4878.231,4965.988,5056.688,5150.076,5245.015,5339.893,5433.841,5526.653,5619.643,5715.372,5817.283,5928.087,6049.214,6180.863,6323.057,6475.333,6637.628,6808.733,6989.55,7184.444,7399.204,7637.141,7901.87,8190.093,8489.864,8784.753,9063.646,9320.678,9561.022,9798.055,10051.133,10333.844,10652.727,11002.758,11372.156,11743.432,12104.952,12451.945,12791.388,13137.542,13510.616,13924.93,14385.283,14886.574,15421.075,15976.715,16544.376,17122.409,17712.824,18314.441,18926.65,19549.124
32,Estimates,Cameroon,,120,4466.498,4544.218,4623.471,4704.556,4787.832,4873.726,4962.726,5055.386,5152.307,5254.11,5361.367,5474.509,5593.768,5719.135,5850.454,5987.671,6130.99,6280.743,6437.157,6600.479,6770.967,6948.847,7134.374,7327.874,7529.704,7740.196,7959.5,8187.84,8425.707,8673.666,8932.121,9201.146,9480.638,9770.555,10070.779,10381.098,10701.458,11031.515,11370.394,11716.975,12070.359,12430.339,12796.831,13169.247,13546.948,13929.575,14316.949,14709.426,15107.909,15513.653,15927.713,16350.44,16782.044,17223.277,17674.96,18137.734,18611.937,19097.676,19595.026,20103.945,20624.343
33,Estimates,Central African Republic,,140,1326.653,1339.842,1353.47,1367.805,1383.078,1399.493,1417.218,1436.392,1457.118,1479.472,1503.501,1529.229,1556.656,1585.765,1616.515,1648.83,1682.874,1718.558,1755.26,1792.15,1828.71,1864.745,1900.665,1937.323,1975.917,2017.379,2061.62,2108.539,2158.987,2213.997,2274.089,2340.047,2411.118,2484.402,2555.936,2622.989,2684.214,2740.708,2795.175,2851.604,2912.824,2979.588,3050.789,3125.144,3200.633,3275.695,3350.299,3424.733,3498.14,3569.523,3638.316,3704.045,3767.248,3829.636,3893.595,3960.897,4032.102,4106.897,4185.106,4266.247,4349.921
34,Estimates,Chad,,148,2502.314,2544.102,2589.278,2636.785,2685.842,2735.936,2786.844,2838.612,2891.526,2946.04,3002.596,3061.423,3122.357,3184.775,3247.798,3310.921,3373.563,3436.227,3500.777,3569.777,3644.911,3727.381,3816.295,3908.721,4000.505,4088.858,4173.072,4254.762,4336.366,4421.416,4512.758,4610.917,4715.985,4829.852,4954.649,5091.809,5242.737,5407.077,5582.282,5764.631,5951.574,6142.558,6338.934,6542.419,6755.54,6980.351,7216.321,7463.347,7724.316,8002.899,8301.151,8620.917,8959.964,9311.234,9665.024,10014.413,10356.822,10694.366,11030.628,11371.325,11720.781
35,Estimates,Congo,,178,807.726,824.199,841.554,859.775,878.862,898.832,919.717,941.568,964.449,988.429,1013.581,1039.958,1067.589,1096.468,1126.573,1157.905,1190.424,1224.187,1259.394,1296.306,1335.09,1375.876,1418.556,1462.767,1508,1553.903,1600.295,1647.32,1695.348,1744.922,1796.412,1849.97,1905.411,1962.375,2020.333,2078.914,2138.09,2198.025,2258.785,2320.488,2383.283,2447.02,2511.819,2578.424,2647.817,2720.633,2797.572,2878.333,2961.357,3044.444,3126.204,3205.636,3283.719,3363.418,3448.868,3542.867,3646.653,3758.858,3876.475,3995.146,4111.715
36,Estimates,Democratic Republic of the Congo,,180,12183.661,12428.829,12680.934,12944.393,13222.519,13517.519,13830.444,14161.242,14508.911,14871.771,15248.246,15637.715,16041.247,16461.914,16903.899,17369.859,17861.86,18378.189,18913.177,19458.874,20009.902,20563.258,21121.467,21691.346,22282.713,22902.275,23554.958,24238.011,24941.431,25650.884,26357.407,27060.353,27767.775,28490.51,29243.529,30039.873,30871.855,31740.965,32679.158,33727.905,34910.591,36253.025,37731.02,39257.294,40711.816,42012.524,43122.601,44078.397,44960.941,45889.1,46949.244,48167.045,49516.96,50972.323,52487.293,54028.003,55590.838,57187.942,58819.038,60486.276,62191.161
37,Estimates,Equatorial Guinea,,226,225.536,230.057,232.757,234.512,235.993,237.676,239.826,242.509,245.617,248.905,252.115,255.1,257.94,260.99,264.743,269.427,275.47,282.444,288.702,292.014,290.905,284.911,274.892,262.376,249.567,238.237,228.527,220.438,215.403,215.109,220.589,232.708,250.776,272.313,293.825,312.772,328.255,340.942,351.776,362.355,373.851,386.418,399.625,413.387,427.503,441.829,456.389,471.288,486.542,502.169,518.179,534.592,551.399,568.552,585.983,603.648,621.517,639.618,658.025,676.851,696.167
38,Estimates,Gabon,,266,473.3,475.845,477.667,479.163,480.66,482.411,484.592,487.306,490.593,494.438,498.823,503.762,509.348,515.762,523.236,531.901,541.895,553.098,565.08,577.241,589.165,600.692,611.99,623.375,635.318,648.174,662.036,676.829,692.535,709.092,726.454,744.624,763.639,783.527,804.319,826.025,848.654,872.158,896.429,921.314,946.703,972.539,998.823,1025.559,1052.772,1080.477,1108.698,1137.412,1166.525,1195.919,1225.527,1255.299,1285.318,1315.82,1347.125,1379.465,1412.907,1447.388,1482.843,1519.155,1556.222
39,Estimates,Sao Tome and Principe,,678,60,59.203,58.525,58.163,58.238,58.782,59.744,60.99,62.316,63.476,64.255,64.549,64.429,64.181,64.209,64.797,66.057,67.874,70.04,72.24,74.251,75.992,77.543,79.038,80.679,82.607,84.874,87.407,90.058,92.622,94.953,96.991,98.802,100.515,102.325,104.371,106.684,109.211,111.894,114.647,117.395,120.154,122.929,125.628,128.135,130.378,132.323,134.029,135.65,137.396,139.428,141.783,144.447,147.455,150.842,154.615,158.806,163.39,168.253,173.24,178.228
40,Estimates,Northern Africa,,912,49331.974,50533.163,51806.738,53156.508,54583.629,56086.593,57661.074,59300.078,60994.437,62733.579,64507.899,66311.298,68143.382,70010.42,71922.652,73886.389,75907.924,77982.026,80090.235,82207.223,84317.358,86414.092,88510.643,90635.75,92829.279,95121.437,97518.292,100015.479,102619.357,105334.419,108161.164,111102.663,114151.657,117284.352,120468.694,123679.05,126899.661,130126.998,133361.844,136610.155,139872.041,143152.748,146436.753,149679.613,152823.424,155830.245,158683.753,161405.625,164043.909,166667.699,169330.536,172047.499,174814.84,177644.611,180545.448,183523.481,186585.644,189734.235,192963.167,196261.776,199619.977
