Index,"Major area, region, country or area",Notes,code,Alpha-code,Location Type Code,Location Type Name,Region Code,Region Name,Major Area Code,Major Area Name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2012 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2011-year(maxHIV),UNAIDS 2010 revision,UNAIDS 2012 revision,Difference (%) base=2010 revision,"Countries or areas with a population of less than 90,000 by end-2013"
88,Uzbekistan,,860,UZB,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,0.40319,Yes,No,No,No,No,0.48705,2011,0,0.1,0.48705,387.05,No
89,Southern Asia,,5501,,3,Region,921,South-Central Asia,935,Asia,,,,,,,,,,,,,,,,,,
90,Afghanistan,,4,AFG,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,…,<0.1,…,No
91,Bangladesh,,50,BGD,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
92,Bhutan,,64,BTN,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,0.21362,Yes,No,No,No,No,0.30047,2011,0,0.2,0.30047,50.235,No
93,India,,356,IND,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
94,Iran (Islamic Republic of),,364,IRN,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,0.16591,Yes,No,No,No,No,0.17618,2011,0,0.2,0.17618,-11.91,No
95,Maldives,,462,MDV,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,1995,16,<0.1,<0.1,…,No
96,Nepal,,524,NPL,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,0.36897,Yes,No,No,No,No,0.47232,2005,6,0.4,0.30391,-24.0225,No
97,Pakistan,,586,PAK,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,0.08239,Yes,No,No,No,No,0.12337,2011,0,0.1,0.12337,23.37,No
98,Sri Lanka,,144,LKA,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
99,South-Eastern Asia,,920,,3,Region,920,South-Eastern Asia,935,Asia,,,,,,,,,,,,,,,,,,
100,Brunei Darussalam,,96,BRN,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
101,Cambodia,,116,KHM,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,0.64893,Yes,No,No,No,No,1.36,1997,14,0.5,0.59418,18.836,No
102,Indonesia,,360,IDN,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,0.21433,Yes,No,No,No,No,0.26442,2011,0,0.2,0.26442,32.21,No
103,Lao People's Democratic Republic,,418,LAO,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,0.23876,Yes,No,No,No,No,0.26453,2011,0,0.2,0.26453,32.265,No
104,Malaysia,8,458,MYS,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,0.42804,Yes,No,No,No,No,0.42804,2009,2,0.5,0.41508,-16.984,No
105,Myanmar,,104,MMR,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,0.69913,Yes,No,No,No,No,0.81506,2004,7,0.6,0.62975,4.958333333,No
106,Philippines,,608,PHL,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
107,Singapore,,702,SGP,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,0.10623,Yes,No,No,No,No,0.10831,2000,11,0.1,0.10663,6.63,No
108,Thailand,,764,THA,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,1.29,No,Yes,No,No,No,2.11,1995,16,1.3,1.2,-7.692307692,No
109,Timor-Leste,,626,TLS,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
110,Viet Nam,,704,VNM,4,Country/Area,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,0.44363,Yes,No,No,No,No,0.46032,2011,0,0.4,0.46032,15.08,No
111,Western Asia,,922,,3,Region,922,Western Asia,935,Asia,,,,,,,,,,,,,,,,,,
